name,latitude,longitude,color
Ashland Ave & Division St,41.9035,-87.6677,#E8A292
Broadway & Barry Ave,41.9377,-87.6441,#A4E2F3
Canal St & Adams St,37.7244,-122.421,#C2D5DA
Canal St & Madison St,41.8821,-87.6398,#A4E2F3
Clark St & Elm St,41.903,-87.6313,#21D7DC
Clark St & Randolph St,41.8846,-87.6319,#ECC28B
Clinton St & Jackson Blvd,41.8781,-87.6398,#A4E2F3
Clinton St & Lake St,41.8856,-87.6418,#E8A292
Clinton St & Madison St,37.8021,-122.4369,#93E8F4
Clinton St & Washington Blvd,37.7107,-122.4372,#81D4FA
Columbus Dr & Randolph St,41.8847,-87.6195,#FFBEA9
Daley Center Plaza,41.8842,-87.6296,#32F3F3
Damen Ave & Pierce Ave,41.9094,-87.6777,#C2D5DA
Dearborn St & Erie St,41.894,-87.6293,#93E8F4
Dearborn St & Monroe St,41.8813,-87.6295,#ECC28B
Desplaines St & Kinzie St,41.8887,-87.6444,#C2D5DA
Franklin St & Jackson Blvd,41.8777,-87.6353,#00CBE7
Franklin St & Lake St,41.8858,-87.6355,#ECC28B
Franklin St & Monroe St,41.8803,-87.6352,#FFBEA9
Indiana Ave & Roosevelt Rd,41.8679,-87.623,#A4E2F3
Kingsbury St & Erie St,41.8938,-87.6417,#C2D5DA
Kingsbury St & Kinzie St,37.793,-122.416,#DCEDC8
Larrabee St & Kingsbury St,41.8978,-87.6429,#A4E2F3
LaSalle St & Jackson Blvd,41.8782,-87.6319,#FFBEA9
Michigan Ave & Lake St,41.886,-87.6241,#C2D5DA
Michigan Ave & Washington St,41.884,-87.6247,#ECC28B
Millennium Park,41.881,-87.6241,#A4E2F3
Morgan St & Lake St,41.8855,-87.6523,#ECC28B
Orleans St & Merchandise Mart Plaza,41.8882,-87.6364,#FFBEA9
Sheffield Ave & Fullerton Ave,41.9256,-87.6537,#DCEDC8
St. Clair St & Erie St,41.8944,-87.6227,#C2D5DA
State St & Kinzie St,41.8892,-87.6278,#FFBEA9
State St & Randolph St,41.8847,-87.6277,#A4E2F3
Streeter Dr & Grand Ave,41.8923,-87.612,#ECC28B
University Ave & 57th St,41.7915,-87.5999,#C2D5DA
Wabash Ave & Grand Ave,41.8915,-87.6268,#DCEDC8
Wabash Ave & Roosevelt Rd,41.8672,-87.626,#FFBEA9
Wells St & Concord Ln,41.9121,-87.6347,#A4E2F3
Wells St & Hubbard St,41.8899,-87.6343,#FFBEA9
Wells St & Huron St,41.8947,-87.6344,#C2D5DA
